전출지,전입지,계
서울 종로구,강원 원주시,45
서울 종로구,강원 강릉시,11
서울 종로구,강원 동해시,5
서울 종로구,강원 태백시,0
서울 종로구,강원 속초시,11
서울 종로구,강원 삼척시,6
서울 종로구,강원 홍천군,8
서울 종로구,강원 횡성군,5
서울 종로구,강원 영월군,1
서울 종로구,강원 평창군,9
서울 종로구,강원 정선군,3
서울 종로구,강원 철원군,1
서울 종로구,강원 화천군,1
서울 종로구,강원 양구군,4
서울 종로구,강원 인제군,2
서울 종로구,강원 고성군,4
서울 종로구,강원 양양군,4
서울 종로구,전북,119
서울 종로구,전북 전주시,47
서울 종로구,전북 군산시,11
서울 종로구,전북 익산시,35
서울 종로구,전북 정읍시,6
서울 종로구,전북 남원시,3
서울 종로구,전북 김제시,2
서울 종로구,전북 완주군,4
서울 종로구,전북 진안군,2
서울 종로구,전북 무주군,1
서울 종로구,전북 장수군,0
서울 종로구,전북 임실군,2
서울 종로구,전북 순창군,1
서울 종로구,전북 고창군,3
서울 종로구,전북 부안군,2
서울 중구,전국,10240
서울 중구,서울,6707
서울 중구,서울 종로구,301
서울 중구,서울 중구,1357
서울 중구,서울 용산구,348
서울 중구,서울 성동구,586
서울 중구,서울 광진구,245
서울 중구,서울 동대문구,486
서울 중구,서울 중랑구,130
서울 중구,서울 성북구,395
서울 중구,서울 강북구,144
서울 중구,서울 도봉구,79
서울 중구,서울 노원구,129
서울 중구,서울 은평구,185
서울 중구,서울 서대문구,233
서울 중구,서울 마포구,290
서울 중구,서울 양천구,80
서울 중구,서울 강서구,128
서울 중구,서울 구로구,84
서울 중구,서울 금천구,42
서울 중구,서울 영등포구,199
서울 중구,서울 동작구,124
서울 중구,서울 관악구,188
서울 중구,서울 서초구,226
서울 중구,서울 강남구,246
서울 중구,서울 송파구,219
서울 중구,서울 강동구,263
서울 중구,부산,152
서울 중구,부산 중구,1
서울 중구,부산 서구,4
서울 중구,부산 동구,1
서울 중구,부산 영도구,4
서울 중구,부산 부산진구,17
서울 중구,부산 동래구,9
서울 중구,부산 남구,11
서울 중구,부산 북구,6
서울 중구,부산 해운대구,34
서울 중구,부산 사하구,11
서울 중구,부산 금정구,9
서울 중구,부산 강서구,5
서울 중구,부산 연제구,8
서울 중구,부산 수영구,16
서울 중구,부산 사상구,8
