연도,지역,1,2,3,4,5,6,7,8,9,10,11,12,연간 총계,월평균
2008,울산,108.0,177.0,169.0,173.0,158.0,146.0,108.0,73.0,259.0,91.0,71.0,45.0,1578.0,132.0
2008,인천,5761.0,1397.0,867.0,1340.0,1448.0,1236.0,1794.0,1231.0,2673.0,1334.0,521.0,1671.0,21273.0,1773.0
2008,전남,145.0,631.0,403.0,476.0,2098.0,695.0,1626.0,237.0,246.0,327.0,262.0,902.0,8048.0,671.0
2008,전북,94.0,197.0,340.0,592.0,253.0,267.0,942.0,262.0,338.0,219.0,207.0,124.0,3835.0,320.0
2008,제주,153.0,67.0,139.0,117.0,157.0,117.0,66.0,59.0,23.0,33.0,45.0,40.0,1016.0,85.0
2008,충남,473.0,278.0,1286.0,930.0,1019.0,1955.0,1221.0,320.0,427.0,370.0,300.0,189.0,8768.0,731.0
2008,충북,151.0,554.0,428.0,531.0,760.0,313.0,1057.0,240.0,254.0,204.0,699.0,140.0,5331.0,444.0
2009,강원,162.0,1460.0,629.0,551.0,940.0,866.0,1453.0,342.0,447.0,364.0,318.0,316.0,7848.0,654.0
2009,경기,1181.0,783.0,2647.0,4277.0,2399.0,6030.0,14520.0,9258.0,8695.0,15506.0,5070.0,17422.0,87788.0,7316.0
2009,경남,196.0,462.0,964.0,1962.0,533.0,1678.0,599.0,1281.0,702.0,804.0,609.0,2273.0,12063.0,1005.0
2009,경북,160.0,287.0,1074.0,973.0,1224.0,752.0,692.0,1091.0,656.0,593.0,662.0,1079.0,9243.0,770.0
2009,광주,26.0,37.0,1898.0,58.0,73.0,54.0,60.0,55.0,90.0,84.0,855.0,54.0,3344.0,279.0
2009,대구,18.0,30.0,61.0,49.0,73.0,79.0,97.0,698.0,130.0,122.0,118.0,71.0,1546.0,129.0
2009,대전,15.0,570.0,1124.0,1075.0,936.0,73.0,673.0,112.0,266.0,1757.0,808.0,56.0,7465.0,622.0
2009,부산,37.0,44.0,5285.0,98.0,142.0,216.0,199.0,1245.0,978.0,326.0,346.0,1335.0,10251.0,854.0
2009,서울,246.0,485.0,2372.0,1506.0,527.0,635.0,883.0,5031.0,1426.0,1875.0,1351.0,2731.0,19068.0,1589.0
2009,세종,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,울산,54.0,97.0,131.0,105.0,236.0,107.0,94.0,133.0,154.0,123.0,199.0,2021.0,3454.0,288.0
2009,인천,130.0,425.0,343.0,5825.0,3164.0,946.0,940.0,1086.0,11077.0,3186.0,3945.0,2158.0,33225.0,2769.0
2009,전남,125.0,735.0,943.0,1073.0,629.0,479.0,429.0,577.0,1927.0,486.0,618.0,357.0,8378.0,698.0
2009,전북,94.0,175.0,247.0,1001.0,314.0,1417.0,319.0,2075.0,341.0,344.0,296.0,1376.0,7999.0,667.0
2009,제주,26.0,1398.0,87.0,80.0,1497.0,91.0,101.0,177.0,128.0,149.0,174.0,85.0,3993.0,333.0
2009,충남,138.0,411.0,1645.0,2534.0,997.0,1140.0,402.0,1265.0,464.0,1302.0,488.0,540.0,11326.0,944.0
2009,충북,78.0,152.0,380.0,379.0,293.0,306.0,326.0,715.0,1032.0,475.0,816.0,608.0,5560.0,463.0
2010,강원,578.0,171.0,431.0,1205.0,646.0,944.0,399.0,366.0,302.0,520.0,468.0,528.0,6558.0,546.0
2010,경기,4439.0,7453.0,5536.0,8777.0,7618.0,13039.0,1947.0,5135.0,3834.0,3359.0,2350.0,-1179.0,62308.0,5192.0
2010,경남,437.0,860.0,637.0,2700.0,1055.0,889.0,3240.0,1197.0,549.0,3805.0,833.0,62.0,16264.0,1355.0
2010,경북,1724.0,354.0,766.0,780.0,948.0,769.0,871.0,867.0,458.0,734.0,1247.0,1835.0,11353.0,946.0
2010,광주,37.0,66.0,376.0,132.0,87.0,85.0,64.0,55.0,79.0,83.0,888.0,-177.0,1775.0,148.0
2010,대구,77.0,65.0,81.0,108.0,235.0,118.0,646.0,95.0,272.0,190.0,168.0,119.0,2174.0,181.0
2010,대전,29.0,74.0,241.0,218.0,192.0,181.0,260.0,552.0,345.0,539.0,292.0,108.0,3031.0,253.0
2010,부산,485.0,255.0,405.0,576.0,510.0,416.0,1255.0,479.0,418.0,1317.0,1140.0,3442.0,10698.0,892.0
2010,서울,948.0,1257.0,1915.0,2053.0,2090.0,1918.0,1638.0,2149.0,1321.0,1678.0,1881.0,13736.0,32584.0,2715.0
2010,세종,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,울산,1481.0,70.0,126.0,198.0,273.0,161.0,115.0,125.0,457.0,508.0,146.0,232.0,3892.0,324.0
2010,인천,2546.0,605.0,1644.0,1118.0,1019.0,987.0,2168.0,1922.0,845.0,2419.0,1518.0,691.0,17482.0,1457.0
2010,전남,1012.0,314.0,890.0,2589.0,457.0,630.0,722.0,336.0,1137.0,551.0,954.0,1843.0,11435.0,953.0
2010,전북,137.0,186.0,377.0,1386.0,554.0,371.0,311.0,268.0,772.0,487.0,399.0,686.0,5934.0,494.0
2010,제주,131.0,120.0,240.0,215.0,380.0,310.0,222.0,173.0,197.0,841.0,565.0,243.0,3637.0,303.0
2010,충남,691.0,363.0,540.0,964.0,629.0,669.0,426.0,404.0,442.0,491.0,942.0,1215.0,7776.0,648.0
2010,충북,177.0,637.0,472.0,1309.0,460.0,1196.0,269.0,381.0,349.0,408.0,519.0,2000.0,8177.0,681.0
2011,강원,788.0,614.0,642.0,665.0,1915.0,537.0,893.0,437.0,848.0,1595.0,2185.0,3369.0,14488.0,1207.0
2011,경기,1488.0,4244.0,6815.0,11685.0,7248.0,4143.0,4242.0,6417.0,5728.0,16367.0,13302.0,16384.0,98063.0,8172.0
2011,경남,727.0,1152.0,1174.0,4546.0,3850.0,1334.0,3356.0,2039.0,4587.0,4644.0,5120.0,2049.0,34578.0,2882.0
2011,경북,352.0,404.0,950.0,1971.0,1063.0,718.0,1082.0,1153.0,2007.0,1488.0,1084.0,3328.0,15600.0,1300.0
2011,광주,26.0,47.0,125.0,726.0,190.0,911.0,1202.0,4118.0,450.0,176.0,310.0,1125.0,9406.0,784.0
2011,대구,98.0,137.0,183.0,1387.0,964.0,415.0,460.0,269.0,350.0,2203.0,298.0,697.0,7461.0,622.0
2011,대전,537.0,188.0,860.0,275.0,2332.0,233.0,218.0,589.0,2747.0,5212.0,732.0,2502.0,16425.0,1369.0
2011,부산,2065.0,1677.0,2218.0,5175.0,2378.0,4796.0,1926.0,1625.0,2343.0,1957.0,5563.0,8738.0,40461.0,3372.0
2011,서울,1091.0,2102.0,8842.0,6342.0,4636.0,8728.0,5625.0,4356.0,5457.0,9522.0,5091.0,15865.0,77657.0,6471.0
2011,세종,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,울산,372.0,153.0,1699.0,1754.0,868.0,423.0,375.0,643.0,386.0,2781.0,449.0,262.0,10165.0,847.0
2011,인천,917.0,1226.0,1478.0,2960.0,1230.0,2132.0,957.0,1312.0,1623.0,899.0,1930.0,4131.0,20795.0,1733.0
2011,전남,256.0,626.0,680.0,835.0,976.0,1430.0,3275.0,1769.0,973.0,1609.0,2517.0,2371.0,17317.0,1443.0
2011,전북,130.0,248.0,627.0,2732.0,966.0,615.0,810.0,589.0,597.0,2225.0,1683.0,3581.0,14803.0,1234.0
2011,제주,300.0,447.0,539.0,1267.0,603.0,527.0,1345.0,361.0,450.0,864.0,1211.0,1117.0,9031.0,753.0
